Organization Name,City,State,Zipcode,Address,Organization Website,Number,Average Amount
Rural Community Assistance Corporation,West Sacramento,CA,95691--501,3120 Freeboard Drive  Suite 201,www.rcac.org,57,910154.5789
"Colorado Enterprise Fund, Inc.",Denver,CO,80203--116,"1888 Sherman Street, Suite 530",http://coloradoenterprisefund.org,57,173067.6316
Florida Community Loan Fund,Orlando,FL,32803,"800 N. Magnolia Avenue
Suite 106",www.fclf.org,56,578093.5
Invest Detroit Foundation,Detroit,MI,48243--180,600 Renaissance Center  Suite 1710,investdetroit.com,50,425232
NHS Neighborhood Lending Services,Los Angeles,CA,90010--330,"3926 Wilshire Blvd,  Ste. 200",www.nhslacounty.org,49,114351.6939
Montana Community Development Corporation,Missoula,MT,59802--453,229 East Main,www.mofi.org,49,286589.1633
Milwaukee Economic Development Corporation,Milwaukee,WI,53202--361,"757 North Broadway, Suite 600",http://www.medconline.com,48,515061.8125
NeighborWorks Capital,Silver Spring,MD,20910--560,8484 Georgia Ave  Suite 330,www.neighborworkscapital.org,47,1863548.596
Opportunity Resource Fund,Lansing,MI,48912--231,330 Marshall Street  Suite 105,http://www.oppfund.org,47,131255.7447
Capital for Change,Wallingford,CT,06492--243,10 Alexander Drive,www.capitalforchange.org,46,382320.1087
Aura Mortgage Advisors,Boston,MA,02119--177,10 Malcolm X Blvd,http://auramortgage.com/,46,238193.4783
NYBDC Local Development Corporation,Albany,NY,12207--153,50 Beaver Street,http://www.pursuitlending.com,44,546620.4773
Massachusetts Housing Investment Corporation,Boston,MA,02110--352,"21 Custom House Street, 8th Floor",http://www.mhic.com,44,1612716.682
California FarmLink,Aptos,CA,95003--395,335 Spreckels Dr. Suite F,http://www.californiafarmlink.org,43,474906.7907
AltCap,Kansas City,MO,64111--153,"300 E. 39th Street, Suite  3G",http://www.altcap.org,41,129006.7073
FINANTA,Philadelphia,PA,19122--450,1301 N. 2nd Street,http://www.finanta.org,39,177661.6667
CLIMB Fund,Charleston,SC,29403,2 Race Street,www.climbfund.org,39,281558.9744
True Access Capital Corporation,Wilmington,DE,19801--165,100 West 10th St.  Suite 300,http://www.trueaccescapital.org,39,360128.2051
"Coastal Enterprises, Inc.",Brunswick,ME,04011--151,"30 Federal Street
Suite 100",www.ceimaine.org,37,236975.5946
Choctaw Home Finance Corporation,Hugo,OK,74743--801,P.O. Box G,www.choctawhomefinance.web-loans.com,35,133504.2
"Grow America Fund, Inc.",Boston,MA,02284--533,PO Box 845339,www.growamerica.org,35,580018.9429
Housing Trust Silicon Valley,San Jose,CA,95113--183,"75 E Santa Clara Street, Suite 1350",http://www.housingtrustsv.org,35,700817.8857
Northern Maine Development Commission,Caribou,ME,04736--410,"11 West Presque Isle Road
PO Box 779",www.nmdc.org,35,277868.5714
South Eastern Economic Development Corporation,Taunton,MA,02780--271,80 Dean Street,http://www.seedcorp.com,34,314997.3529
Trenton Business Assistance Corporation,Mercerville,NJ,08619--163,3111 Quakerbridege Rd. - 2 floor,www.rbacloan.com,34,393678.6765
