Organization Name,Number,City,State,Zipcode,Address,Organization Website,
Citizen Potawatomi Community Development Corporation,5,Shawnee,OK,74804--211,1545 Gordon Cooper Dr.,http://www.cpcdc.org,
Greater Newark Enterprises Corporation,5,Newark,NJ,07103--356,"211 Warren Street, Suite 423",www.gnec.org,
City First Homes Inc.,5,Washington,DC,20036,"1701 Rhode Island NW
Suite 3-103",www.cfhomes.org,
"Albany Community Together, Inc.",4,Albany,GA,31701--281,230 South Jackson Street  Suite 333,www.albanycommunitytogether.com,
"Western Reserve Community Fund, Inc",4,Akron,OH,44308,"c/o Development Finance Authority of Summit County
One Cascade Plaza, Suite 1700",Non given,
White Earth Investment Initiative,4,Ogema,MN,56569--003,407 Main St. E.  P.O. Box 38,www.weii.website,
Wind River Development Fund,4,Fort Washakie,WY,82514--066,P.O. Box 661,http://www.wrdf.org,
Quaboag Valley Business Assistance Corporation,4,Ware,MA,01082--135,"23 West Main Street, Suite #1",http://www.qvcdc.org,
"Communities Unlimited, Inc.",4,Fayetteville,AR,72703--288,3 East Colt Square Drive,http://www.CommunitiesU.org,
Community Development Resources,4,Lincoln,NE,68505,912 N. 70th St.,www.cdr-nebraska.org,
"Opening Doors, Inc.",4,Sacramento,CA,95825--854,"1111 Howe Ave., Suite 125",www.openingdoorsinc.org,
Growth Partners Arizona,4,Tucson,AZ,85711--263,"333 N. Wilmot Road
Suite 227",https://www.growthpartnersaz.org/,
Neighborhood Community Development Fund,4,Pittsburgh,PA,15214--000,3923 Perrysville Avenue,www.ncd-fund.org,
Network for Oregon Affordable Housing,4,Portland,OR,97201--516,"1750 S. Harbor Way, Suite 245",http://noah-housing.org,
"JARI Growth Fund, Inc.",4,Johnstown,PA,15901--291,"245 Market Street, Suite 200",www.jarigrowthfund.com,
Habitat for Humanity of Oregon,3,Portland,OR,97217--414,5825 N Greeley Ave,habitatoregon.org,
NACDC Financial Services Inc.,3,Browning,MT,59417--302,201 N. Piegan Street  P.O. Box 3029,www.nacdcfinancialservices.com,
"Gateway Community Development Fund, Inc.",3,St. Louis,MO,63102,707 N. 2nd Street  Suite 308,http://www.gatewaycdfi.com,
"TruFund Financial Services, Inc.",3,New York,NY,10018--232,"39 West 37th Street, 7th Floor",http://www.trufund.org,
Community First Lending,3,Richmond,CA,94801--152,1535 Fred Jackson Way Suite A,Not Available,
Hmong Wisconsin Chamber of Commerce,3,Milwaukee,WI,53225,5423 N. 118th Ct,http://hmongchamber.org,
"Flagship Enterprise Capital, Inc.",3,Anderson,IN,46013--967,2705 Enterprise Drive Suite #150,www.bankable.org,
Landmarks Community Capital Corporation,3,Pittsburgh,PA,15219--118,"100 W. Station Square Drive, Ste. 400",http://www.landmarkscommunitycapital.org,
Leviticus 25:23 Alternative Fund Inc,3,Tarrytown,NY,10591,220 White Plains Road Suite 415,www.leviticusfund.org,
"Community Reinvestment Fund, Inc",3,Minneapolis,MN,55402--253,801 Nicollet Mall  Suite 1700W,http://www.crfusa.com,
Lake Superior Community Development Corp.,3,L'Anse,MI,49946--101,1 N. Front Street,https://www.lakesuperiorcdc.com/,
"Carolina Community Impact, Inc.",3,Raleigh,NC,27622,P.O. Box 30662,Non given,
